 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.74,0.8,0.6,0.78,0.5,0.52,0.34,0.3,0.65,0.2,0.66,0.6,0.62,0.67,0.69,0.75,0.51,DST_110_M_NUT.csv
0.75,0.47,0.88,0.71,0.42,0.12,0.66,0.73,0.51,0.73,0.57,0.95,0.51,0.47,0.32,0.22,0.26,DST_004_F_ANG.csv
0.92,0.89,0.57,0.98,0.55,0.57,0.29,0.32,0.52,0.17,0.79,0.8,0.88,0.38,0.74,0.38,0.25,DST_120_M_FER.csv
0.48,0.55,0.37,0.65,0.33,0.25,0.3,0.21,0.45,0.45,0.47,0.58,0.49,0.46,0.24,0.38,0.47,DST_025_F_NUT.csv
0.4,0.4,0.28,0.71,0.91,0.91,0.49,0.85,0.9,0.87,0.63,0.73,0.68,0.7,0.35,0.44,0.4,DST_149_F_HPY.csv
0.41,0.48,0.24,0.63,0.78,0.52,0.55,0.83,0.9,0.87,0.41,0.56,0.7,0.47,0.47,0.22,0.37,DST_025_F_HPY.csv
0.96,0.99,0.46,0.97,0.45,0.44,0.23,0.53,0.42,0.46,0.53,0.72,0.9,0.43,0.5,0.53,0.35,DST_031_M_FER.csv
0.92,0.99,0.28,0.99,0.35,0.15,0.26,0.25,0.49,0.63,0.59,0.69,0.74,0.46,0.66,0.28,0.23,DST_158_F_FER.csv
0.75,0.49,0.89,0.75,0.72,0.85,0.66,0.64,0.54,0.42,0.75,0.96,0.6,0.79,0.21,0.62,0.13,DST_086_M_ANG.csv
0.46,0.45,0.37,0.7,0.66,0.74,0.22,0.44,0.9,0.72,0.48,0.61,0.79,0.72,0.43,0.34,0.27,DST_147_F_HPY.csv
0.71,0.76,0.37,0.59,0.37,0.23,0.45,0.28,0.43,0.48,0.49,0.71,0.58,0.5,0.38,0.11,0.45,DST_158_F_NUT.csv
0.6,0.24,0.84,0.43,0.45,0.89,0.6,0.44,0.32,0.35,0.78,0.94,0.4,0.54,0.21,0.57,0.3,DST_178_F_SAD.csv
0.78,0.72,0.36,0.67,0.56,0.32,0.58,0.7,0.55,0.5,0.65,0.8,0.77,0.5,0.58,0.59,0.53,DST_041_M_NUT.csv
0.44,0.77,0.46,0.7,0.49,0.19,0.64,0.56,0.47,0.63,0.53,0.74,0.53,0.47,0.56,0.55,0.54,DST_048_M_NUT.csv
0.6,0.46,0.86,0.73,0.7,0.94,0.76,0.84,0.53,0.64,0.96,0.95,0.85,0.52,0.55,0.37,0.34,DST_056_M_SAD.csv
0.64,0.6,0.95,0.73,0.55,0.88,0.69,0.33,0.38,0.78,0.48,0.92,0.68,0.76,0.28,0.54,0.3,DST_173_F_ANG.csv
0.94,0.98,0.44,0.82,0.39,0.39,0.43,0.59,0.48,0.38,0.31,0.44,0.36,0.43,0.86,0.66,0.51,DST_167_F_SUR.csv
0.92,0.97,0.58,0.96,0.44,0.29,0.23,0.33,0.58,0.09,0.57,0.43,0.33,0.22,0.77,0.82,0.3,DST_118_M_SUR.csv
0.91,0.98,0.24,0.98,0.26,0.22,0.18,0.53,0.49,0.47,0.83,0.75,0.81,0.41,0.49,0.39,0.36,DST_009_F_FER.csv
0.59,0.46,0.49,0.53,0.87,0.94,0.41,0.7,0.96,0.83,0.34,0.5,0.7,0.72,0.76,0.53,0.46,DST_065_F_HPY.csv
0.37,0.2,0.84,0.1,0.94,0.88,0.96,0.95,0.67,0.79,0.49,0.95,0.64,0.68,0.54,0.67,0.47,DST_091_M_DIS.csv
0.6,0.35,0.94,0.39,0.36,0.83,0.73,0.45,0.16,0.17,0.91,0.96,0.52,0.47,0.24,0.38,0.34,DST_119_M_SAD.csv
